City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bocas del toro,9.3333,-82.25,22.25,74,100,2.13,PA,1708660188
1,iqaluit,63.7506,-68.5145,-30.15,67,75,1.03,CA,1708660188
2,whitby,54.4877,-0.615,4.06,87,27,2.24,GB,1708660188
3,puerto natales,-51.7236,-72.4875,4.22,80,58,4.61,CL,1708660189
4,ilulissat,69.2167,-51.1,-11.99,79,100,0.0,GL,1708659959
5,wahpeton,46.2652,-96.6059,1.63,100,0,3.6,US,1708660189
6,kittila,67.6647,24.8936,0.34,93,100,6.17,FI,1708660189
7,nova vicosa,-17.8919,-39.3719,25.31,91,100,3.5,BR,1708660050
8,port-aux-francais,-49.35,70.2167,7.35,92,100,18.36,TF,1708660189
9,lebu,-37.6167,-73.65,12.45,87,0,5.12,CL,1708659955
10,lae,-6.7221,146.9847,30.62,66,60,4.3,PG,1708660190
11,edinburgh of the seven seas,-37.0676,-12.3116,15.56,73,28,8.14,SH,1708660190
12,kodiak,57.79,-152.4072,0.73,55,0,2.06,US,1708660190
13,kapoeta,4.7717,33.5903,29.82,32,100,8.28,SS,1708660191
14,mount isa,-20.7333,139.5,32.87,46,7,2.57,AU,1708660191
15,tannum sands,-23.9504,151.3693,32.64,55,45,5.14,AU,1708660031
16,olonkinbyen,70.9221,-8.7187,-1.01,95,97,7.05,SJ,1708659959
17,zhanaozen,43.3,52.8,-2.66,76,95,5.7,KZ,1708660191
18,papatowai,-46.5619,169.4708,21.34,46,100,3.16,NZ,1708660192
19,ushuaia,-54.8,-68.3,2.81,87,75,7.72,AR,1708660192
20,carnarvon,-24.8667,113.6333,27.76,68,72,5.14,AU,1708660192
21,choyr,46.3611,108.3611,-17.25,67,97,2.19,MN,1708660192
22,dudinka,69.4058,86.1778,-17.99,94,100,10.73,RU,1708660193
23,kingston,17.997,-76.7936,22.53,56,20,0.0,JM,1708660071
24,thompson,55.7435,-97.8558,-26.91,76,0,1.54,CA,1708660193
25,west island,-12.1568,96.8225,30.99,70,75,4.12,CC,1708660193
26,acarau,-2.8856,-40.12,25.33,84,100,0.55,BR,1708660193
27,berdigestyakh,62.0989,126.6992,-19.44,94,100,2.05,RU,1708659968
28,adamstown,-25.066,-130.1015,26.21,79,88,4.58,PN,1708660194
29,albany,42.6001,-73.9662,3.36,87,100,0.45,US,1708659998
30,blackmans bay,-43.0167,147.3167,18.07,66,96,5.91,AU,1708660194
31,college,64.8569,-147.8028,-1.82,74,75,5.66,US,1708660194
32,bethel,41.3712,-73.414,3.2,86,100,0.0,US,1708660195
33,winnetka,42.1081,-87.7359,9.97,59,52,0.89,US,1708659960
34,vilyuchinsk,52.9306,158.4028,-6.85,60,65,5.67,RU,1708660195
35,saipan,15.1355,145.701,28.39,74,75,10.29,MP,1708660195
36,waitangi,-43.9535,-176.5597,18.79,76,21,2.24,NZ,1708660196
37,barroquinha,-3.0189,-41.1361,23.09,96,98,0.79,BR,1708660196
38,esuk oron,4.8029,8.2534,26.64,80,100,1.07,NG,1708660196
39,st. john's,47.5649,-52.7093,0.64,97,100,4.63,CA,1708659928
40,chittagong,22.9167,91.5,26.29,66,21,3.95,BD,1708660197
41,susuman,62.7833,148.1667,-25.16,92,100,1.56,RU,1708660197
42,dedovichi,57.5517,29.9502,1.34,98,100,6.35,RU,1708660197
43,miri,4.4148,114.0089,30.08,79,40,2.57,MY,1708660197
44,laguna,38.421,-121.4238,13.35,72,0,2.57,US,1708660197
45,karaidel',55.8337,56.9069,-25.15,100,100,1.52,RU,1708660198
46,bredasdorp,-34.5322,20.0403,14.87,80,8,2.13,ZA,1708660198
47,preobrazheniye,42.9019,133.9064,-4.73,33,0,1.34,RU,1708660198
48,lillestrom,59.956,11.0492,3.69,99,100,0.89,NO,1708660198
49,ust-nera,64.5667,143.2,-26.99,96,100,1.47,RU,1708660199
50,khandyga,62.6667,135.6,-31.95,88,68,0.21,RU,1708660199
51,gondar,12.6,37.4667,15.38,43,99,3.59,ET,1708660199
52,sokoni,-6.4333,39.55,28.72,76,100,7.18,TZ,1708660199
53,bilibino,68.0546,166.4372,-25.32,95,100,1.1,RU,1708660199
